Police_ID,Region_ID,Street,City,State,zip
1,4, 911 N Raynor St,El Paso,TX,79903
2,4,9600 Dyer St,El Paso,TX,79924
3,2,4712 Maher Ave,Laredo,TX,78041
4,1,2600 W Travis St,Sherman ,TX,75092
5,1,505 W Felix St,Ft Worth,TX,76115
6,1,8755 N Riverside Dr,Ft Worth,TX,76244
7,1,1400 Botham Jean Blvd,Dallas,TX,75215
8,1,725 N Jim Miller Rd,Dallas,TX,75217
9,1,334 S Hall St,Dallas,TX,75226
10,1, 620 W Division St,Arlington ,TX,76011
11,1, 1030 SW Green Oaks Blvd,Arlington ,TX,76017
12,1,2060 W Green Oaks Blvd,Arlington ,TX,76013
13,3, 1200 Travis St,Houston,TX,77002
14,5,3635 E Houston St,San Antonio,TX,78219
15,3,61 Riesner St,Houston,TX,77002
16,3,1400 Boston Ave,Nederland,TX,77627
17,1,2600 W Travis St,Sherman,TX,75092
18,2,217 E Market St,Sinton,TX,78387
19,3,2004 N Cleveland St,Dayton,TX,77535
20,5,5020 Prue Rd,San Antonio,TX,78240
21,5,8600 Wurzbach Rd,San Antonio,TX,78240
22,5,5555 Airport Blvd,Austin,TX,78751
23,5, 5805 N Lamar Blvd,Austin,TX,78752
24,5,4201 Ed Bluestein Blvd,Austin,TX,78721
25,4,601 N Loraine St,Midland,TX,79701
26,4,911 S 1st St W,Cylde,TX,79510
